Species,ModType,Submodel,Param,Estimate,SE
Odocoileus virginianus,10-day SOM,Detection,Log dist. to road,-0.3049057914031933,0.07700485074632238
Odocoileus virginianus,10-day SOM,Occupancy,Intercept,1.2360645212667585,0.0850106126958243
Odocoileus virginianus,10-day SOM,Occupancy,Max temp.,0.3555106183430624,0.08556557161149994
Odocoileus virginianus,10-day SOM,Occupancy,Pct. forest cover,1.173939282625137,0.09301244239065348
Odocoileus virginianus,Clustered,Detection,Intercept,0.12906371038771647,0.02952432382444603
Odocoileus virginianus,Clustered,Detection,Canopy height,-0.06010431009040427,0.02225569378400936
Odocoileus virginianus,Clustered,Detection,Log dist. to road,-0.04345946185043223,0.02926955807940611
Odocoileus virginianus,Clustered,Occupancy,Intercept,1.3403257671703768,0.08874297049618207
Odocoileus virginianus,Clustered,Occupancy,Max temp.,0.32802888719210177,0.08527677966854812
Odocoileus virginianus,Clustered,Occupancy,Pct. forest cover,1.1907708213965444,0.09517941911981576
Odocoileus virginianus,Clustered,Site use,Theta,-1.9140944340879704,0.04277048768664852
Odocoileus virginianus,Clustered,Site use,Theta Prime,2.2106407577702476,0.06220188426767288
Otospermophilus beecheyi,1-day SOM,Detection,Intercept,-9.934104953376458,1.6046405187146129
Otospermophilus beecheyi,1-day SOM,Detection,Canopy height,-0.5018647725281957,0.4322053197833189
Otospermophilus beecheyi,1-day SOM,Detection,Log dist. to road,-12.82875148200659,2.3337429414446533
Otospermophilus beecheyi,1-day SOM,Occupancy,Intercept,-6.793486357316082,4.463865824415282
Otospermophilus beecheyi,1-day SOM,Occupancy,Max temp.,6.182889515653174,5.181109742772104
Otospermophilus beecheyi,1-day SOM,Occupancy,Pct. forest cover,2.9074328842124824,2.034731124068309
Otospermophilus beecheyi,10-day SOM,Detection,Intercept,-10.02665845861026,4.0218827045204755
Otospermophilus beecheyi,10-day SOM,Detection,Canopy height,-1.0884058629468691,1.2210597538542465
Otospermophilus beecheyi,10-day SOM,Detection,Log dist. to road,-17.817682398578455,7.710486543539973
Otospermophilus beecheyi,10-day SOM,Occupancy,Intercept,-6.858764256033427,4.4206604012417134
Otospermophilus beecheyi,10-day SOM,Occupancy,Max temp.,6.4636039131303,5.141971403595145
Otospermophilus beecheyi,10-day SOM,Occupancy,Pct. forest cover,2.896190057799455,2.018683249209117
Otospermophilus beecheyi,Clustered,Detection,Intercept,-9.946804939561456,1.5921047998872522
Otospermophilus beecheyi,Clustered,Detection,Canopy height,-0.5027255756406013,0.42796903952977505
Otospermophilus beecheyi,Clustered,Detection,Log dist. to road,-12.846229618512416,2.318990217701385
Otospermophilus beecheyi,Clustered,Occupancy,Intercept,-24.796888764935655,26.3964123357142
Otospermophilus beecheyi,Clustered,Occupancy,Max temp.,29.03321810496562,31.574138593582017
Otospermophilus beecheyi,Clustered,Occupancy,Pct. forest cover,12.237794237282175,12.675562341102012
Otospermophilus beecheyi,Clustered,Site use,Theta,-19.668157958094177,NA
Otospermophilus beecheyi,Clustered,Site use,Theta Prime,19.43084569879576,NA
Otospermophilus variegatus,1-day SOM,Detection,Intercept,-3.8038419467569495,0.5517854263928511
Otospermophilus variegatus,1-day SOM,Detection,Canopy height,0.6698222548468876,0.3114832235006488
Otospermophilus variegatus,1-day SOM,Detection,Log dist. to road,-0.8594733169916468,0.2670243738099634
Otospermophilus variegatus,1-day SOM,Occupancy,Intercept,-1.9279384076065655,0.5774872882908411
Otospermophilus variegatus,1-day SOM,Occupancy,Max temp.,0.15460653441021255,0.6680522236264765
Otospermophilus variegatus,1-day SOM,Occupancy,Pct. forest cover,-0.6513726322498333,0.6298953503566096
Otospermophilus variegatus,10-day SOM,Detection,Intercept,-3.184565059396145,0.390595250222647
Otospermophilus variegatus,10-day SOM,Detection,Canopy height,1.036722614186067,0.33180504441362013
Otospermophilus variegatus,10-day SOM,Detection,Log dist. to road,-0.3728029341826036,0.24846628985442684
Otospermophilus variegatus,10-day SOM,Occupancy,Intercept,34.02079188093076,48.02274691156019
Otospermophilus variegatus,10-day SOM,Occupancy,Max temp.,37.33331577349783,51.311056537058654
Otospermophilus variegatus,10-day SOM,Occupancy,Pct. forest cover,-29.564586708984333,42.2907906482656
Otospermophilus variegatus,Clustered,Detection,Intercept,-2.6568581279391847,0.7757966166454309
Otospermophilus variegatus,Clustered,Detection,Canopy height,1.2188576163997429,0.5245548605721659
Otospermophilus variegatus,Clustered,Detection,Log dist. to road,-1.4297165295044694,0.367558137029369
Otospermophilus variegatus,Clustered,Occupancy,Intercept,-1.3649813154349737,0.7646086668895492
Otospermophilus variegatus,Clustered,Occupancy,Max temp.,0.6665860449824165,0.997037764755552
Otospermophilus variegatus,Clustered,Occupancy,Pct. forest cover,-0.5656891799717317,0.6523474116829936
Otospermophilus variegatus,Clustered,Site use,Theta,-2.7345024671124345,0.5581657046732106
Otospermophilus variegatus,Clustered,Site use,Theta Prime,1.2443424718380651,0.7971443575978769
Procyon lotor,1-day SOM,Detection,Intercept,-1.5540789339447976,0.01989458522037176
Procyon lotor,1-day SOM,Detection,Canopy height,0.00828483475367884,0.02032215890483949
Procyon lotor,1-day SOM,Detection,Log dist. to road,-0.23905527548605812,0.02053048210214507
Procyon lotor,1-day SOM,Occupancy,Intercept,-0.13511302145094503,0.05585217669335774
Procyon lotor,1-day SOM,Occupancy,Max temp.,0.02379422663952371,0.06440132192736514
Procyon lotor,1-day SOM,Occupancy,Pct. forest cover,0.1963479616816469,0.0605335971989539
Procyon lotor,10-day SOM,Detection,Intercept,0.35849703337710637,0.06379814721222937
Procyon lotor,10-day SOM,Detection,Canopy height,0.1956669422906953,0.06810197123518959
